Question ID	Dataset	Question Order	Question	Category	Output Keywords
1	Titanic	1	How many passengers survived?	Summary Statistics	n_passengers_survived
2	Titanic	2	How many male and female passengers are there?	Summary Statistics	n_male; n_female
3	Titanic	3	Find the mean, median, and standard deviation of "Age".	Summary Statistics	mean; median; std
4	Titanic	4	How many different values of "Pclass" are there?	Summary Statistics	n_unique
5	Titanic	5	What's the average "Fare" price?	Summary Statistics	mean
6	Titanic	6	What is the correlation between "Pclass" and "Fare"?	Statistical Testing	corr
7	Titanic	7	Is there a statistically significant difference in fare price between those who survived and those who did not? 	Statistical Testing	yes_or_no
8	Titanic	8	Is there a statistically significant difference in fare price between men and women?	Statistical Testing	yes_or_no
9	Titanic	9	Create a new categorical variable, "Age_categorical", with two levels: "young" and "old". Define "old" as those aged at least 50 years. Is there a statistically significant difference in fare price between young and old passengers?	Data Transformation; Statistical Testing	yes_or_no
10	Titanic	10	Use logistic regression to predict survival using "Pclass", "Age_categorical", and "Fare". Report the test AUROC score.	Regression Analysis; Persistence	auroc
11	House Prices	1	Compute the average "SalePrice" along with the standard deviation.	Summary Statistics	mean; std
12	House Prices	2	Create a new variable, "TotalSF", which is defined as the sum of "1stFlrSF" and "2ndFlrSF". Find this new variable's mean.	Data Transformation; Summary Statistics	mean
13	House Prices	3	Impute missing values of "GarageYrBlt" with the median. Report its new mean. 	Data Transformation; Summary Statistics	mean
14	House Prices	4	Which variable has the highest missingness? Report its name and its number of missing values.	Indexing, Summary Statistics	name; n_missing
15	House Prices	5	Regress "SalePrice" on "TotalSF" with linear regression. What is the value for the coefficient of "TotalSF"? Is the coefficient statistically significant? What is the intercept value?	Regression Analysis; Persistence	totalsf_coef; totalsf_significant_yes_or_no; intercept
16	House Prices	6	Regress "SalePrice" on "TotalSF", "LotShape", and "GarageArea" with linear regression. Report the train R-squared and the test RMSE.	Regression Analysis; Persistence	r2; rmse
17	House Prices	7	Is there a statistically significant difference in "SalePrice" between the values of "LotShape"?	Statistical Testing	yes_or_no
18	House Prices	8	Compute the correlation between "SalePrice" and "TotalSF". Report the correlation as well as the p-value.	Statistical Testing; Persistence	corr; pval
19	House Prices	9	Is the distribution of "SalePrice" normal?	Statistical Testing	yes_or_no
20	House Prices	10	Engineer a new variable, "PriceRange", with values "Low", "Medium", and "High", based on "SalePrice". "Low" is defined as having "SalePrice" below 100,000. "Medium" is defined as having "SalePrice" at least 100,000 but below 300,000. "High" is defined as having "SalePrice" at least 300,000. Find the average "SalePrice" among houses considered in the "Medium" price range.	Data Transformation; Summary Statistics	mean
21	House Prices	11	Report the value counts of "PriceRange". 	Summary Statistics; Persistence	n_low; n_medium; n_high
