Task ID,Task Type,Metric Value,Method
361111,classification,0.71,ada_gpt4o
361111,classification,0.71,ada_gpt4o
361111,classification,0.718,ada_gpt4o
361111,classification,0.71,ada_gpt4o
361111,classification,0.718,ada_gpt4o
361111,classification,0.602,ada_gpt4o
361111,classification,,ada_gpt4o
361111,classification,0.602,ada_gpt4o
361111,classification,0.718,ada_gpt4o
361111,classification,0.71,ada_gpt4o
361286,classification,0.659,ada_gpt4o
361286,classification,0.698,ada_gpt4o
361286,classification,0.659,ada_gpt4o
361286,classification,0.659,ada_gpt4o
361286,classification,0.722,ada_gpt4o
361286,classification,0.698,ada_gpt4o
361286,classification,0.722,ada_gpt4o
361286,classification,,ada_gpt4o
361286,classification,0.722,ada_gpt4o
361286,classification,0.659,ada_gpt4o
361070,classification,,ada_gpt4o
361070,classification,,ada_gpt4o
361070,classification,0.707,ada_gpt4o
361070,classification,0.707,ada_gpt4o
361070,classification,0.707,ada_gpt4o
361070,classification,,ada_gpt4o
361070,classification,0.696,ada_gpt4o
361070,classification,,ada_gpt4o
361070,classification,0.594,ada_gpt4o
361070,classification,0.696,ada_gpt4o
361278,classification,0.79,ada_gpt4o
361278,classification,0.783,ada_gpt4o
361278,classification,0.797,ada_gpt4o
361278,classification,0.794,ada_gpt4o
361278,classification,0.797,ada_gpt4o
361278,classification,0.79,ada_gpt4o
361278,classification,0.79,ada_gpt4o
361278,classification,0.794,ada_gpt4o
361278,classification,,ada_gpt4o
361278,classification,0.797,ada_gpt4o
361093,regression,0.08,ada_gpt4o
361093,regression,0.086,ada_gpt4o
361093,regression,0.08,ada_gpt4o
361093,regression,0.086,ada_gpt4o
361093,regression,0.086,ada_gpt4o
361093,regression,0.08,ada_gpt4o
361093,regression,0.08,ada_gpt4o
361093,regression,0.081,ada_gpt4o
361093,regression,0.086,ada_gpt4o
361093,regression,0.08,ada_gpt4o
361094,regression,0.057,ada_gpt4o
361094,regression,0.057,ada_gpt4o
361094,regression,0.057,ada_gpt4o
361094,regression,0.057,ada_gpt4o
361094,regression,0.056,ada_gpt4o
361094,regression,0.056,ada_gpt4o
361094,regression,0.056,ada_gpt4o
361094,regression,0.056,ada_gpt4o
361094,regression,0.056,ada_gpt4o
361094,regression,0.057,ada_gpt4o
361288,regression,2.187,ada_gpt4o
361288,regression,2.184,ada_gpt4o
361288,regression,2.184,ada_gpt4o
361288,regression,2.184,ada_gpt4o
361288,regression,2.186,ada_gpt4o
361288,regression,2.187,ada_gpt4o
361288,regression,2.167,ada_gpt4o
361288,regression,2.167,ada_gpt4o
361288,regression,2.167,ada_gpt4o
