iter	RMSE
0	3.264675634
1	3.210399183
2	3.160396546
3	3.109527996
4	3.061279747
5	3.016676362
6	2.976100808
7	2.934841103
8	2.900456198
9	2.866953251
10	2.835789631
11	2.807750883
12	2.776415611
13	2.750709468
14	2.724863906
15	2.698087898
16	2.674228974
17	2.650105339
18	2.626013153
19	2.604848523
20	2.586543655
21	2.568104449
22	2.550148681
23	2.530899861
24	2.514279685
25	2.498996465
26	2.488049482
27	2.473318981
28	2.463556029
29	2.452013216
30	2.438979961
31	2.428788096
32	2.418903576
33	2.407511394
34	2.397439497
35	2.388487885
36	2.378569884
37	2.368613735
38	2.358787854
39	2.354094973
40	2.346727939
41	2.339590895
42	2.332469156
43	2.325867853
44	2.317379108
45	2.312633808
46	2.306536475
47	2.298795192
48	2.292647594
49	2.286329454
50	2.279404863
51	2.274027406
52	2.270559605
53	2.264245516
54	2.259668177
55	2.256073547
56	2.25130188
57	2.245511144
58	2.24097099
59	2.235022167
60	2.230400808
61	2.225478805
62	2.221302242
63	2.217947864
64	2.215015553
65	2.21168851
66	2.207016145
67	2.204477897
68	2.201186818
69	2.196085612
70	2.194408555
71	2.190099835
72	2.186016708
73	2.183806129
74	2.179245903
75	2.17561315
76	2.172699
77	2.169415809
78	2.165899593
79	2.163593751
80	2.16004959
81	2.15678963
82	2.154365045
83	2.15229287
84	2.149242889
85	2.146766838
86	2.14388534
87	2.14247958
88	2.140431365
89	2.138327999
90	2.135178204
91	2.133500069
92	2.130057304
93	2.128141813
94	2.12519545
95	2.122780711
96	2.118850347
97	2.116307439
98	2.114467931
99	2.111414734
100	2.109522161
101	2.107832647
102	2.105155349
103	2.102697941
104	2.101262344
105	2.099360168
106	2.096903321
107	2.09496882
108	2.092977517
109	2.091471252
110	2.089479094
111	2.087242901
112	2.085528876
113	2.08371547
114	2.082508042
115	2.07950294
116	2.076920027
117	2.07453038
118	2.073100713
119	2.071976018
120	2.07113469
121	2.06982564
122	2.068778658
123	2.066135637
124	2.06475681
125	2.063447305
126	2.061767528
127	2.059562667
128	2.057119975
129	2.055556487
130	2.053743802
131	2.052594699
132	2.050845327
133	2.048478546
134	2.047082541
135	2.04390539
136	2.042001172
137	2.040793294
138	2.038055482
139	2.037087708
140	2.035510116
141	2.033830112
142	2.033249225
143	2.032010361
144	2.029856304
145	2.028594518
146	2.025700492
147	2.023453362
148	2.020875597
149	2.019168636
150	2.01747414
151	2.016488242
152	2.015321985
153	2.013151845
154	2.010816866
155	2.009019822
156	2.007080745
157	2.005774244
158	2.00404414
159	2.002086042
160	2.000613844
161	1.999214895
162	1.998287872
163	1.997702547
164	1.995418945
165	1.992783026
166	1.991713508
167	1.990499324
168	1.989121209
169	1.988171879
170	1.986850975
171	1.984718611
172	1.98356982
173	1.982646465
174	1.981304784
175	1.979933868
176	1.97906055
177	1.978145568
178	1.977310016
179	1.975879289
180	1.973886902
181	1.973273518
182	1.972276639
183	1.970766502
184	1.969887192
185	1.968741195
186	1.966764636
187	1.963988239
188	1.962656788
189	1.961468488
190	1.959490879
191	1.958617324
192	1.957990598
193	1.956848104
194	1.955778551
195	1.953118753
196	1.951333073
197	1.950606319
198	1.949192956
199	1.948018485
200	1.946816577
201	1.945421986
202	1.945072558
203	1.943848363
204	1.942870203
205	1.941799209
206	1.941195356
207	1.94073102
208	1.938721892
209	1.937339765
210	1.936041132
211	1.935275344
212	1.934762721
213	1.932963099
214	1.931466544
215	1.929738926
216	1.927715973
217	1.926727807
218	1.926241986
219	1.925834298
220	1.925306273
221	1.922511086
222	1.922237827
223	1.921332173
224	1.919817428
225	1.918147204
226	1.916426164
227	1.914843122
228	1.914122982
229	1.913621624
230	1.912262847
231	1.910877987
232	1.910342793
233	1.907357423
234	1.904747409
235	1.903335873
236	1.900659064
237	1.89830747
238	1.896954482
239	1.896495725
240	1.896030668
241	1.895550689
242	1.893360058
243	1.891964073
244	1.889224655
245	1.888856306
246	1.887424399
247	1.88669183
248	1.885822216
249	1.885152392
250	1.884841773
251	1.883356635
252	1.88090653
253	1.879350629
254	1.87671181
255	1.874272151
256	1.871968531
257	1.869886828
258	1.869490055
259	1.867311121
260	1.865686014
261	1.865146157
262	1.862957254
263	1.861095414
264	1.859495023
265	1.858862573
266	1.858283745
267	1.856674602
268	1.855262076
269	1.854388418
270	1.851934462
271	1.851515219
272	1.85087679
273	1.849918352
274	1.848025106
275	1.845597775
276	1.84501471
277	1.843899745
278	1.842960621
279	1.841477625
280	1.840311281
281	1.83888513
282	1.837355843
283	1.834761472
284	1.834270904
285	1.833960019
286	1.832701713
287	1.831153214
288	1.830365103
289	1.828089971
290	1.825917896
291	1.824726128
292	1.823617543
293	1.821405519
294	1.820680559
295	1.820156179
296	1.819768812
297	1.819302737
298	1.818538554
299	1.81779995
300	1.815296893
301	1.814449471
302	1.813341612
303	1.812308126
304	1.811786147
305	1.810375949
306	1.809578217
307	1.809085602
308	1.808647436
