iter	Passed	Remaining
0	0	558
1	1	538
2	1	529
3	2	540
4	2	532
5	3	528
6	3	523
7	4	512
8	4	504
9	5	500
10	5	498
11	6	494
12	6	490
13	6	487
14	7	487
15	7	483
16	8	481
17	8	479
18	9	479
19	9	480
20	10	482
21	10	481
22	11	480
23	11	479
24	12	477
25	12	477
26	13	476
27	13	476
28	14	474
29	14	474
30	15	474
31	15	473
32	16	473
33	16	473
34	17	472
35	17	472
36	18	471
37	18	471
38	19	471
39	19	473
40	20	473
41	20	472
42	21	470
43	21	470
44	22	469
45	22	471
46	23	469
47	23	468
48	24	467
49	24	466
50	25	467
51	25	466
52	26	465
53	26	464
54	27	464
55	27	464
56	28	464
57	28	464
58	29	463
59	29	463
60	30	462
61	30	462
62	31	461
63	31	461
64	32	461
65	32	461
66	33	460
67	33	459
68	34	459
69	34	458
70	34	457
71	35	457
72	35	456
73	36	456
74	36	455
75	37	454
76	37	454
77	38	453
78	38	453
79	39	452
80	39	451
81	40	450
82	40	450
83	41	449
84	41	448
85	42	448
86	42	447
87	43	446
88	43	446
89	44	445
90	44	445
91	45	444
92	45	444
93	46	444
94	46	443
95	47	442
96	47	442
97	47	441
98	48	440
99	48	440
100	49	439
101	49	439
102	50	439
103	50	438
104	51	438
105	51	438
106	52	437
107	52	437
108	53	436
109	53	435
110	54	434
111	54	434
112	55	433
113	55	432
114	56	432
115	56	432
116	57	431
117	57	431
118	58	430
119	58	430
120	59	429
121	59	429
122	60	428
123	60	427
124	61	427
125	61	426
126	61	426
127	62	425
128	62	425
129	63	425
130	64	425
131	64	424
132	65	424
133	65	424
134	66	423
135	66	422
136	67	422
137	67	421
138	67	421
139	68	420
140	68	420
141	69	419
142	69	419
143	70	418
144	70	418
145	71	417
146	71	417
147	72	417
148	72	416
149	73	416
150	73	415
151	74	415
152	74	414
153	75	414
154	76	414
155	76	414
156	77	413
157	77	413
158	78	412
159	78	412
160	79	412
161	79	411
162	80	411
163	80	410
164	81	410
165	81	410
166	82	409
167	82	408
168	83	408
169	83	407
170	84	407
171	84	406
